Rank,Country,Cumulative Volume,Description
79,Guyana,1307,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
80,Bahrain,1224,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
81,Yemen,1210,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
82,Haiti,1199,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
83,Malta,1173,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
84,Latvia,1170,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
85,Hungary,1161,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
86,Vietnam,1052,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
87,Lithuania,1043,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
88,Estonia,1012,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
89,Bosnia and Herzegovina,912,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
90,Ecuador,831,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
91,Senegal,817,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
92,Tanzania,808,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
93,Kyrgyzstan,802,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
94,Antigua and Barbuda,755,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
95,Moldova,738,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
96,Uganda,670,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
97,New Caledonia,654,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
98,Slovenia,632,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
99,Nigeria,625,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
100,Cambodia,622,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
101,Romania,607,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
102,Ghana,572,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
103,Ireland,555,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
103,Sri Lanka,555,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
105,Qatar,544,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
106,Timor-Leste,526,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
107,Hong Kong,512,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
108,Niger,486,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
109,Macedonia,433,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
110,St Kitts and Nevis,425,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
111,Liberia,420,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
112,Barbados,406,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
113,Albania,400,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
114,St Vincent and the Grenadines,380,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
115,St Lucia,372,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
116,Cameroon,342,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
117,Cayman Islands,336,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
118,Croatia,254,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
119,Laos,229,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
120,Grenada,228,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
121,Somalia,224,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
122,Uzbekistan,219,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
123,Aruba,217,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
124,Mauritania,207,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
125,Papua New Guinea,194,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
126,Mali,192,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
127,Luxembourg,183,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
128,Greenland,142,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
129,Mongolia,140,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
130,Burkina Faso,135,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
131,Tajikistan,128,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
132,Morocco,109,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
133,Botswana,106,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
133,Iceland,106,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
135,Turks and Caicos Islands,103,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
136,Vatican City,94,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
137,Bermuda,78,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
138,Dominica,65,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
138,Bhutan,65,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
140,Djibouti,57,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
141,South Sudan,52,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
142,Fiji,50,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
143,Eswatini,48,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
144,Curacao,46,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
145,Chad,32,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
145,British Virgin Islands,32,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
147,Congo (Kinshasa),30,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
148,French Polynesia,29,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
149,Andorra,26,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
150,Montenegro,25,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
151,Malawi,23,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
152,Anguilla,16,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
152,Angola,16,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
154,Zimbabwe,15,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
155,Netherlands Antilles (through Apr 2011),12,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
156,Mauritius,8,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
157,Kiribati,7,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
158,China,6,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
158,Azerbaijan,6,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
158,Venezuela,6,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
161,Mozambique,2,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
162,Central African Republic,1,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
162,Ethiopia,1,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,St Helena,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Cyprus,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Liechtenstein,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Heard and McDonald Islands,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Benin,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,St Pierre and Miquelon,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,French Southern and Antarctic Lands,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Cocos (Keeling) Islands,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,San Marino,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Eritrea,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Falkland Islands (Islas Malvinas),0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Seychelles,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Nepal,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Ethiopia (through Jun 1993),0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Iran,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Belarus,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,International Organizations,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,British Indian Ocean Territories,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Wallis and Futuna,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Sao Tome and Principe,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Niue,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Nauru,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Czechoslovakia (through Dec 1992),0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Sudan,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Turkmenistan,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Mayotte,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Solomon Islands,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Serbia (Jan 2007 - Dec 2008),0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Equatorial Guinea,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Marshall Islands,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Yugoslavia (through May 1992),0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Libya,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Palau,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Burundi,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Rwanda,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Gambia,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Madagascar,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Western Sahara (through Dec 2020),0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Sierra Leone,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Gabon,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Sudan (through Jul 2011),0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Monaco,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Brunei,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Pitcairn Islands,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,West Bank Administered by Israel,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Iraqi-Saudi Arabia Neutral Zone (through Dec 1992),0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Guinea,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Tuvalu,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Congo (Brazzaville),0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Gaza Strip Administered by Israel,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Cabo Verde,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Maldives,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,"Svalbard, Jan Mayen Island",0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Tokelau,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Togo,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Cuba,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Cook Islands,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Soviet Union (through Jun 1992),0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Puerto to US,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Reunion,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,French Guiana,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Norfolk Island,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Tonga,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Vanuatu,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Guinea-Bissau,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Montserrat,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Faroe Islands,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Martinique,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Lesotho,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Syria,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Guadeloupe,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Christmas Island,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Samoa,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Gibraltar,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Algeria,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,"Korea, North",0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Comoros,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Unidentified Countries,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Macau,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Burma,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Serbia and Montenegro (Aug 2003 - Dec 2006),0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Micronesia,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
164,Sint Maarten,0,"Cumulative volume of US semiautomatic firearm exports, 2005-2022"
